title,c_prod_bud,domestic_box_office,domestic_box_office_roi
10 Cloverfield Lane,5000000,72082999.0,13.417
10 Days in a Madhouse,12000000,14616.0,-0.999
"10,000 B.C.",105000000,94784201.0,-0.097
102 Dalmatians,85000000,66941559.0,-0.212
10th & Wolf,8000000,54702.0,-0.993
12 Rounds,20000000,12234694.0,-0.388
12 Years a Slave,20000000,56671993.0,1.834
127 Hours,18000000,18335230.0,0.019
13 Going On 30,30000000,57139723.0,0.905
13 Hours: The Secret Soldiers of Benghazi,50000000,52853219.0,0.057
1408,22500000,71985628.0,2.199
15 Minutes,42000000,24375436.0,-0.42
16 Blocks,45000000,36895141.0,-0.18
16 to Life,1000000,11574.0,-0.988
17 Again,40000000,64167069.0,0.604
1941,32000000,34175000.0,0.068
2 Fast 2 Furious,76000000,127120058.0,0.673
2 For the Money,20000000,22991379.0,0.15
2 Guns,61000000,75612460.0,0.24
20 Dates,66000,541636.0,7.207
20 Feet From Stardom,1000000,4946250.0,3.946
"20,000 Leagues Under the Sea",5000000,28200000.0,4.64
200 Cigarettes,6000000,6852450.0,0.142
2001: A Space Odyssey,10500000,56700000.0,4.4
2012,200000000,166112167.0,-0.169
2016: Obama’s America,2500000,33349941.0,12.34
2046,12000000,1442338.0,-0.88
21,35000000,81159365.0,1.319
21 Grams,20000000,16248701.0,-0.188
21 Jump Street,42000000,138447667.0,2.296
21 and Over,13000000,25682380.0,0.976
22 Jump Street,50000000,191719337.0,2.834
23 Blast,1000000,549185.0,-0.451
24 7: Twenty Four Seven,2000000,72544.0,-0.964
25th Hour,4500000,13084595.0,1.908
27 Dresses,30000000,76808654.0,1.56
28 Days,43000000,37035515.0,-0.139
28 Days Later…,8000000,45064915.0,4.633
28 Weeks Later,15000000,28638916.0,0.909
3,7200000,59774.0,-0.992
3 Backyards,300000,39475.0,-0.868
3 Days to Kill,28000000,30697999.0,0.096
3 Men and a Baby,15000000,167780960.0,10.185
3 Ninjas Kick Back,20000000,11744960.0,-0.413
3 Strikes,4000000,9821335.0,1.455
30 Days of Night,30000000,39568996.0,0.319
30 Minutes or Less,28000000,37053924.0,0.323
300,60000000,210614939.0,2.51
3000 Miles to Graceland,62000000,15738632.0,-0.746
300: Rise of an Empire,110000000,106580051.0,-0.031
3:10 to Yuma,48000000,53606916.0,0.117
"4 luni, 3 saptamani si 2 zile",900000,1196321.0,0.329
40 Days and 40 Nights,17000000,37939782.0,1.232
42,40000000,95020213.0,1.376
42nd Street,439000,1438000.0,2.276
47 Ronin,175000000,38362475.0,-0.781
5 Days of War,12000000,17479.0,-0.999
50 First Dates,75000000,120776832.0,0.61
50 to 1,10000000,1069454.0,-0.893
50/50,8000000,35016118.0,3.377
51 Birch Street,350000,84689.0,-0.758
54,13000000,16757163.0,0.289
55 Days at Peking,17000000,10000000.0,-0.412
8 Heads in a Duffel Bag,3000000,3602884.0,0.201
8 Mile,41000000,116724075.0,1.847
8 femmes,8000000,3076425.0,-0.615
88 Minutes,30000000,16930884.0,-0.436
8: The Mormon Proposition,2500000,100280.0,-0.96
8MM,40000000,36443442.0,-0.089
9,30000000,31749894.0,0.058
90 Minutes in Heaven,5000000,4816142.0,-0.037
A Beautiful Mind,78000000,170708996.0,1.189
A Better Life,10000000,1759252.0,-0.824
A Bridge Too Far,26000000,50800000.0,0.954
A Bug's Life,45000000,162798565.0,2.618
A Christmas Story,3250000,20605209.0,5.34
A Cinderella Story,19000000,51438175.0,1.707
A Civil Action,60000000,56709981.0,-0.055
A Dangerous Method,20000000,5702083.0,-0.715
A Dog of Flanders,7000000,2165637.0,-0.691
A Farewell To Arms,5000000,11000000.0,1.2
A Few Good Men,33000000,141340178.0,3.283
A Good Day to Die Hard,92000000,67349198.0,-0.268
A Good Year,35000000,7459300.0,-0.787
A Guy Named Joe,2627000,5363000.0,1.041
A Guy Thing,20000000,15543862.0,-0.223
A Hard Day's Night,560000,1537860.0,1.746
A Haunted House,2500000,40041683.0,15.017
A Haunted House 2,4000000,17329487.0,3.332
